"STATION","NAME","DATE","PRCP"
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-01",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-02",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-03",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-04",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-05","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-06",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-07","0.02"
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-08","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-09","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-10",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-11",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-12",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-13",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-14",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-15",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-16",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-17",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-18",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-20",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-21",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-22",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-23",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-24",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-25",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-26",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-27",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-28",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-29",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-30",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-01-31",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-01",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-02",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-03",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-04",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-05",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-06",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-07",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-08",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-09",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-10",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-11",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-12",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-13",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-14",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-15",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-16",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-17",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-18",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-20",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-21",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-22",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-23",
"IN020040900","MADRAS MINAMBAKKAM, IN","2001-02-24",
