STATION,NAME,DATE,PRCP,MONTH,YEAR
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-21,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-22,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-23,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-24,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-25,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-26,0.24,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-27,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-28,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-29,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-30,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-03-31,0.0,3,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-01,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-02,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-03,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-04,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-05,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-07,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-08,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-09,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-10,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-11,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-12,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-13,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-14,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-15,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-16,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-17,0.0,4,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-04-18,0.0,4,1991
